phase	source0	raw	action	pidx_before	prime	out_idx_phase	out_idx_global	out
A	132	P	A_ATBASH_PRIME_MINUS_1_SUB	229	1451	79	79	S
A	133	J	A_ATBASH_PRIME_MINUS_1_SUB	230	1453	80	80	S
A	134	O	A_ATBASH_PRIME_MINUS_1_SUB	231	1459	81	81	B
A	135	EA	A_HOLD_LITERAL			82	82	EA
A	136	G	A_ATBASH_PRIME_MINUS_1_SUB	232	1471	83	83	TH
A	137	AE	A_ATBASH_PRIME_MINUS_1_SUB	233	1481	84	84	TH
A	138	W	A_ATBASH_PRIME_MINUS_1_SUB	234	1483	85	85	E
A	139	X	A_HOLD_LITERAL			86	86	X
A	140	S	A_ATBASH_PRIME_MINUS_1_SUB	235	1487	87	87	G
A	141	D	A_ATBASH_PRIME_MINUS_1_SUB	236	1489	88	88	AE
A	142	C	A_ATBASH_PRIME_MINUS_1_SUB	237	1493	89	89	I
A	143	U	A_ATBASH_PRIME_MINUS_1_SUB	238	1499	90	90	H
A	144	T	A_ATBASH_PRIME_MINUS_1_SUB	239	1511	91	91	I
A	145	OE	A_ATBASH_PRIME_MINUS_1_SUB	240	1523	92	92	NG
A	146	H	A_ATBASH_PRIME_MINUS_1_SUB	241	1531	93	93	IA
A	147	EO	A_ATBASH_PRIME_MINUS_1_SUB	242	1543	94	94	J
A	148	N	A_ATBASH_PRIME_MINUS_1_SUB	243	1549	95	95	H
A	149	P	A_ATBASH_PRIME_MINUS_1_SUB	244	1553	96	96	F
A	150	T	A_ATBASH_PRIME_MINUS_1_SUB	245	1559	97	97	L
SWITCH	151	EA	SUPPRESSED_PHASE_SWITCH					
B	152	Y	B_ATBASH_PRIME_MINUS_1_ADD	256	1621	0	98	IA
B	153	B	B_ATBASH_PRIME_MINUS_1_ADD	257	1627	1	99	P
B	154	U	B_ATBASH_PRIME_MINUS_1_ADD	258	1637	2	100	I
B	155	G	B_ATBASH_PRIME_MINUS_1_ADD	259	1657	3	101	AE
B	156	G	B_ATBASH_PRIME_MINUS_1_ADD	260	1663	4	102	TH
B	157	A	B_ATBASH_PRIME_MINUS_1_ADD	261	1667	5	103	B
B	158	EO	B_ATBASH_PRIME_MINUS_1_ADD	262	1669	6	104	TH
B	159	N	B_ATBASH_PRIME_MINUS_1_ADD	263	1693	7	105	F
B	160	G	B_ATBASH_PRIME_MINUS_1_ADD	264	1697	8	106	W
B	161	O	B_ATBASH_PRIME_MINUS_1_ADD	265	1699	9	107	EO
B	162	E	B_ATBASH_PRIME_MINUS_1_ADD	266	1709	10	108	W
B	163	L	B_ATBASH_PRIME_MINUS_1_ADD	267	1721	11	109	B
B	164	M	B_ATBASH_PRIME_MINUS_1_ADD	268	1723	12	110	L
B	165	B	B_ATBASH_PRIME_MINUS_1_ADD	269	1733	13	111	O
B	166	TH	B_ATBASH_PRIME_MINUS_1_ADD	270	1741	14	112	Y
B	167	Y	B_ATBASH_PRIME_MINUS_1_ADD	271	1747	15	113	H
B	168	IA	B_ATBASH_PRIME_MINUS_1_ADD	272	1753	16	114	P
B	169	OE	B_ATBASH_PRIME_MINUS_1_ADD	273	1759	17	115	A
B	170	EO	B_ATBASH_PRIME_MINUS_1_ADD	274	1777	18	116	D
B	171	Y	B_ATBASH_PRIME_MINUS_1_ADD	275	1783	19	117	S
B	172	M	B_ATBASH_PRIME_MINUS_1_ADD	276	1787	20	118	Y
B	173	C	B_ATBASH_PRIME_MINUS_1_ADD	277	1789	21	119	P
B	174	OE	B_ATBASH_PRIME_MINUS_1_ADD	278	1801	22	120	H
B	175	TH	B_ATBASH_PRIME_MINUS_1_ADD	279	1811	23	121	N
B	176	E	B_ATBASH_PRIME_MINUS_1_ADD	280	1823	24	122	C
B	177	L	B_ATBASH_PRIME_MINUS_1_ADD	281	1831	25	123	J
B	178	R	B_ATBASH_PRIME_MINUS_1_ADD	282	1847	26	124	X
B	179	EO	B_ATBASH_PRIME_MINUS_1_ADD	283	1861	27	125	L
B	180	P	B_ATBASH_PRIME_MINUS_1_ADD	284	1867	28	126	AE
B	181	R	B_ATBASH_PRIME_MINUS_1_ADD	285	1871	29	127	N
B	182	D	B_ATBASH_PRIME_MINUS_1_ADD	286	1873	30	128	NG
B	183	Y	B_ATBASH_PRIME_MINUS_1_ADD	287	1877	31	129	OE
B	184	X	B_DELETE_X	288				
B	185	D	B_ATBASH_PRIME_MINUS_1_ADD	288	1879	32	130	IA
B	186	NG	B_ATBASH_PRIME_MINUS_1_ADD	289	1889	33	131	I
B	187	Y	B_ATBASH_PRIME_MINUS_1_ADD	290	1901	34	132	B
B	188	P	B_ATBASH_PRIME_MINUS_1_ADD	291	1907	35	133	W
B	189	S	B_ATBASH_PRIME_MINUS_1_ADD	292	1913	36	134	J
B	190	E	B_ATBASH_PRIME_MINUS_1_ADD	293	1931	37	135	Y
B	191	X	B_DELETE_X	294				
